Original Title,Authors,cleaned_title
Taming Polysemanticity in LLMs: Provable Feature Recovery via Sparse Autoencoders,"Siyu Chen,Heejune Sheen,Xuyuan Xiong,Tianhao Wang,Zhuoran Yang",taming polysemanticity llm provable feature recovery via sparse autoencoders
AssistedDS: Benchmarking How External Domain Knowledge Assists LLMs in Automated Data Science,"An Luo,Xun Xian,Jin Du,Fangqiao Tian,Ganghua Wang,Ming Zhong,Shengchun Zhao,Xuan Bi,Zirui Liu,Jiawei Zhou,Jayanth Srinivasa,Ashish Kundu,Charles Fleming,Mingyi Hong,Jie Ding",assistedds benchmarking external domain knowledge assist llm automated data science
AMLgentex: Mobilizing Data-Driven Research to Combat Money Laundering,"Johan Östman,Edvin Callisen,Anton Chen,Kristiina Ausmees,Emanuel Gårdh,Jovan Zamac,Jolanta Goldsteine,Hugo Wefer,Simon Whelan,Markus Reimegård",amlgentex mobilizing datadriven research combat money laundering
Mirror Descent Using the Tempesta Generalized Multi-parametric Logarithms,Andrzej Cichocki,mirror descent using tempesta generalized multiparametric logarithm
HAELT: A Hybrid Attentive Ensemble Learning Transformer Framework for High-Frequency Stock Price Forecasting,Thanh Dan Bui,haelt hybrid attentive ensemble learning transformer framework highfrequency stock price forecasting
"Making deep neural networks work for medical audio: representation, compression and domain adaptation",Charles C Onu,making deep neural network work medical audio representation compression domain adaptation
Safe Domains of Attraction for Discrete-Time Nonlinear Systems: Characterization and Verifiable Neural Network Estimation,"Mohamed Serry,Haoyu Li,Ruikun Zhou,Huan Zhang,Jun Liu",safe domain attraction discretetime nonlinear system characterization verifiable neural network estimation
Toward Explainable Offline RL: Analyzing Representations in Intrinsically Motivated Decision Transformers,"Leonardo Guiducci,Antonio Rizzo,Giovanna Maria Dimitri",toward explainable offline analyzing representation intrinsically motivated decision transformer
ASMR: Augmenting Life Scenario using Large Generative Models for Robotic Action Reflection,"Shang-Chi Tsai,Seiya Kawano,Angel Garcia Contreras,Koichiro Yoshino,Yun-Nung Chen",asmr augmenting life scenario using large generative model robotic action reflection
How Does LLM Reasoning Work for Code? A Survey and a Call to Action,"Ira Ceka,Saurabh Pujar,Irene Manotas,Gail Kaiser,Baishakhi Ray,Shyam Ramji",llm reasoning work code survey call action
HierVL: Semi-Supervised Segmentation leveraging Hierarchical Vision-Language Synergy with Dynamic Text-Spatial Query Alignment,"Numair Nadeem,Saeed Anwar,Muhammad Hamza Asad,Abdul Bais",hiervl semisupervised segmentation leveraging hierarchical visionlanguage synergy dynamic textspatial query alignment
Adaptive Guidance Accelerates Reinforcement Learning of Reasoning Models,"Vaskar Nath,Elaine Lau,Anisha Gunjal,Manasi Sharma,Nikhil Baharte,Sean Hendryx",adaptive guidance accelerates reinforcement learning reasoning model
Logical Expressiveness of Graph Neural Networks with Hierarchical Node Individualization,"Arie Soeteman,Balder ten Cate",logical expressiveness graph neural network hierarchical node individualization
Intelligent Image Sensing for Crime Analysis: A ML Approach towards Enhanced Violence Detection and Investigation,"Aritra Dutta,Pushpita Boral,G Suseela",intelligent image sensing crime analysis approach towards enhanced violence detection investigation
Few-Shot Learning for Industrial Time Series: A Comparative Analysis Using the Example of Screw-Fastening Process Monitoring,"Xinyuan Tu,Haocheng Zhang,Tao Chengxu,Zuyi Chen(Friedrich-Alexander-Universität Erlangen, Germany)",fewshot learning industrial time series comparative analysis using example screwfastening process monitoring
A Systematic Review of User-Centred Evaluation of Explainable AI in Healthcare,"Ivania Donoso-Guzmán,Kristýna Sirka Kacafírková,Maxwell Szymanski,An Jacobs,Denis Parra,Katrien Verbert",systematic review usercentred evaluation explainable healthcare
Enhancing interpretability of rule-based classifiers through feature graphs,"Christel Sirocchi,Damiano Verda",enhancing interpretability rulebased classifier feature graph
"Alignment Quality Index (AQI) : Beyond Refusals: AQI as an Intrinsic Alignment Diagnostic via Latent Geometry, Cluster Divergence, and Layer wise Pooled Representations","Abhilekh Borah,Chhavi Sharma,Danush Khanna,Utkarsh Bhatt,Gurpreet Singh,Hasnat Md Abdullah,Raghav Kaushik Ravi,Vinija Jain,Jyoti Patel,Shubham Singh,Vasu Sharma,Arpita Vats,Rahul Raja,Aman Chadha,Amitava Das",alignment quality index aqi beyond refusal aqi intrinsic alignment diagnostic via latent geometry cluster divergence layer wise pooled representation
Beyond Shapley Values: Cooperative Games for the Interpretation of Machine Learning Models,"Marouane Il Idrissi,Agathe Fernandes Machado,Arthur Charpentier",beyond shapley value cooperative game interpretation machine learning model
Scaling Algorithm Distillation for Continuous Control with Mamba,"Samuel Beaussant,Mehdi Mounsif",scaling algorithm distillation continuous control mamba
Investigating the interaction of linguistic and mathematical reasoning in language models using multilingual number puzzles,"Antara Raaghavi Bhattacharya,Isabel Papadimitriou,Kathryn Davidson,David Alvarez-Melis",investigating interaction linguistic mathematical reasoning language model using multilingual number puzzle
StaQ it! Growing neural networks for Policy Mirror Descent,"Alena Shilova,Alex Davey,Brahim Driss,Riad Akrour",staq growing neural network policy mirror descent
Fake it till You Make it: Reward Modeling as Discriminative Prediction,"Runtao Liu,Jiahao Zhan,Yingqing He,Chen Wei,Alan Yuille,Qifeng Chen",fake till make reward modeling discriminative prediction
Students' Reliance on AI in Higher Education: Identifying Contributing Factors,"Griffin Pitts,Neha Rani,Weedguet Mildort,Eva-Marie Cook",student reliance higher education identifying contributing factor
Sustainable Machine Learning Retraining: Optimizing Energy Efficiency Without Compromising Accuracy,"Lorena Poenaru-Olaru,June Sallou,Luis Cruz,Jan Rellermeyer,Arie van Deursen",sustainable machine learning retraining optimizing energy efficiency without compromising accuracy
Robustness of Reinforcement Learning-Based Traffic Signal Control under Incidents: A Comparative Study,"Dang Viet Anh Nguyen,Carlos Lima Azevedo,Tomer Toledo,Filipe Rodrigues",robustness reinforcement learningbased traffic signal control incident comparative study
Evolvable Conditional Diffusion,"Zhao Wei,Chin Chun Ooi,Abhishek Gupta,Jian Cheng Wong,Pao-Hsiung Chiu,Sheares Xue Wen Toh,Yew-Soon Ong",evolvable conditional diffusion
A Survey on World Models Grounded in Acoustic Physical Information,"Xiaoliang Chen,Le Chang,Xin Yu,Yunhe Huang,Xianling Tu",survey world model grounded acoustic physical information
FrontendBench: A Benchmark for Evaluating LLMs on Front-End Development via Automatic Evaluation,"Hongda Zhu,Yiwen Zhang,Bing Zhao,Jingzhe Ding,Siyao Liu,Tong Liu,Dandan Wang,Yanan Liu,Zhaojian Li",frontendbench benchmark evaluating llm frontend development via automatic evaluation
Quantifying Structure in CLIP Embeddings: A Statistical Framework for Concept Interpretation,"Jitian Zhao,Chenghui Li,Frederic Sala,Karl Rohe",quantifying structure clip embeddings statistical framework concept interpretation
Balancing Preservation and Modification: A Region and Semantic Aware Metric for Instruction-Based Image Editing,"Zhuoying Li,Zhu Xu,Yuxin Peng,Yang Liu",balancing preservation modification region semantic aware metric instructionbased image editing
MLDebugging: Towards Benchmarking Code Debugging Across Multi-Library Scenarios,"Jinyang Huang,Xiachong Feng,Qiguang Chen,Hanjie Zhao,Zihui Cheng,Jiesong Bai,Jingxuan Zhou,Min Li,Libo Qin",mldebugging towards benchmarking code debugging across multilibrary scenario
Structured Program Synthesis using LLMs: Results and Insights from the IPARC Challenge,"Shraddha Surana,Ashwin Srinivasan,Michael Bain",structured program synthesis using llm result insight iparc challenge
DeepSeq: High-Throughput Single-Cell RNA Sequencing Data Labeling via Web Search-Augmented Agentic Generative AI Foundation Models,"Saleem A. Al Dajani,Abel Sanchez,John R. Williams",deepseq highthroughput singlecell rna sequencing data labeling via web searchaugmented agentic generative foundation model
Investigating the Potential of Large Language Model-Based Router Multi-Agent Architectures for Foundation Design Automation: A Task Classification and Expert Selection Study,"Sompote Youwai,David Phim,Vianne Gayl Murcia,Rianne Clair Onas",investigating potential large language modelbased router multiagent architecture foundation design automation task classification expert selection study
Analysis and Optimization of Probabilities of Beneficial Mutation and Crossover Recombination in a Hamming Space,Roman V. Belavkin,analysis optimization probability beneficial mutation crossover recombination hamming space
BraTS orchestrator : Democratizing and Disseminating state-of-the-art brain tumor image analysis,"Florian Kofler,Marcel Rosier,Mehdi Astaraki,Ujjwal Baid,Hendrik Möller,Josef A. Buchner,Felix Steinbauer,Eva Oswald,Ezequiel de la Rosa,Ivan Ezhov,Constantin von See,Jan Kirschke,Anton Schmick,Sarthak Pati,Akis Linardos,Carla Pitarch,Sanyukta Adap,Jeffrey Rudie,Maria Correia de Verdier,Rachit Saluja,Evan Calabrese,Dominic LaBella,Mariam Aboian,Ahmed W. Moawad,Nazanin Maleki,Udunna Anazodo,Maruf Adewole,Marius George Linguraru,Anahita Fathi Kazerooni,Zhifan Jiang,Gian Marco Conte,Hongwei Li,Juan Eugenio Iglesias,Spyridon Bakas,Benedikt Wiestler,Marie Piraud,Bjoern Menze",brat orchestrator democratizing disseminating stateoftheart brain tumor image analysis
"Dr. GPT Will See You Now, but Should It? Exploring the Benefits and Harms of Large Language Models in Medical Diagnosis using Crowdsourced Clinical Cases","Bonam Mingole,Aditya Majumdar,Firdaus Ahmed Choudhury,Jennifer L. Kraschnewski,Shyam S. Sundar,Amulya Yadav",gpt see exploring benefit harm large language model medical diagnosis using crowdsourced clinical case
Instruction and Solution Probabilities as Heuristics for Inductive Programming,"Edward McDaid,Sarah McDaid",instruction solution probability heuristic inductive programming
Enhancing Clinical Decision Support and EHR Insights through LLMs and the Model Context Protocol: An Open-Source MCP-FHIR Framework,"Abul Ehtesham,Aditi Singh,Saket Kumar",enhancing clinical decision support ehr insight llm model context protocol opensource mcpfhir framework
Contemporary AI foundation models increase biological weapons risk,"Roger Brent,T. Greg McKelvey Jr",contemporary foundation model increase biological weapon risk
ClimateChat: Designing Data and Methods for Instruction Tuning LLMs to Answer Climate Change Queries,"Zhou Chen,Xiao Wang,Yuanhong Liao,Ming Lin,Yuqi Bai",climatechat designing data method instruction tuning llm answer climate change query
Analysis of Anonymous User Interaction Relationships and Prediction of Advertising Feedback Based on Graph Neural Network,"Yanjun Dai,Haoyang Feng,Yuan Gao",analysis anonymous user interaction relationship prediction advertising feedback based graph neural network
Enhancing Bagging Ensemble Regression with Data Integration for Time Series-Based Diabetes Prediction,"Vuong M. Ngo,Tran Quang Vinh,Patricia Kearney,Mark Roantree",enhancing bagging ensemble regression data integration time seriesbased diabetes prediction
XGraphRAG: Interactive Visual Analysis for Graph-based Retrieval-Augmented Generation,"Ke Wang,Bo Pan,Yingchaojie Feng,Yuwei Wu,Jieyi Chen,Minfeng Zhu,Wei Chen",xgraphrag interactive visual analysis graphbased retrievalaugmented generation
Solving the Job Shop Scheduling Problem with Graph Neural Networks: A Customizable Reinforcement Learning Environment,"Pablo Ariño Fernández,Carlos Quesada González",solving job shop scheduling problem graph neural network customizable reinforcement learning environment
Hidden Bias in the Machine: Stereotypes in Text-to-Image Models,"Sedat Porikli,Vedat Porikli",hidden bias machine stereotype texttoimage model
Knowledge Compression via Question Generation: Enhancing Multihop Document Retrieval without Fine-tuning,"Anvi Alex Eponon,Moein Shahiki-Tash,Ildar Batyrshin,Christian E. Maldonado-Sifuentes,Grigori Sidorov,Alexander Gelbukh",knowledge compression via question generation enhancing multihop document retrieval without finetuning
A Survey of Physics-Informed AI for Complex Urban Systems,"En Xu,Huandong Wang,Yunke Zhang,Sibo Li,Yinzhou Tang,Zhilun Zhou,Yuming Lin,Yuan Yuan,Xiaochen Fan,Jingtao Ding,Yong Li",survey physicsinformed complex urban system
MobiEdit: Resource-efficient Knowledge Editing for Personalized On-device LLMs,"Zhenyan Lu,Daliang Xu,Dongqi Cai,Zexi Li,Wei Liu,Fangming Liu,Shangguang Wang,Mengwei Xu",mobiedit resourceefficient knowledge editing personalized ondevice llm
LittleBit: Ultra Low-Bit Quantization via Latent Factorization,"Banseok Lee,Dongkyu Kim,Youngcheon You,Youngmin Kim",littlebit ultra lowbit quantization via latent factorization
Non-planar Object Detection and Identification by Features Matching and Triangulation Growth,Filippo Leveni,nonplanar object detection identification feature matching triangulation growth
PB$^2$: Preference Space Exploration via Population-Based Methods in Preference-Based Reinforcement Learning,"Brahim Driss,Alex Davey,Riad Akrour",preference space exploration via populationbased method preferencebased reinforcement learning
Weakest Link in the Chain: Security Vulnerabilities in Advanced Reasoning Models,"Arjun Krishna,Aaditya Rastogi,Erick Galinkin",weakest link chain security vulnerability advanced reasoning model
Stream-Omni: Simultaneous Multimodal Interactions with Large Language-Vision-Speech Model,"Shaolei Zhang,Shoutao Guo,Qingkai Fang,Yan Zhou,Yang Feng",streamomni simultaneous multimodal interaction large languagevisionspeech model
Avoiding Obfuscation with Prover-Estimator Debate,"Jonah Brown-Cohen,Geoffrey Irving,Georgios Piliouras",avoiding obfuscation proverestimator debate
The ASP-based Nurse Scheduling System at the University of Yamanashi Hospital,"Hidetomo Nabeshima,Mutsunori Banbara,Torsten Schaub,Takehide Soh",aspbased nurse scheduling system university yamanashi hospital
Agent Capability Negotiation and Binding Protocol (ACNBP),"Ken Huang,Akram Sheriff,Vineeth Sai Narajala,Idan Habler",agent capability negotiation binding protocol acnbp
From Data-Driven to Purpose-Driven Artificial Intelligence: Systems Thinking for Data-Analytic Automation of Patient Care,"Daniel Anadria,Roel Dobbe,Anastasia Giachanou,Ruurd Kuiper,Richard Bartels,Íñigo Martínez de Rituerto de Troya,Carmen Zürcher,Daniel Oberski",datadriven purposedriven artificial intelligence system thinking dataanalytic automation patient care
Block-wise Adaptive Caching for Accelerating Diffusion Policy,"Kangye Ji,Yuan Meng,Hanyun Cui,Ye Li,Shengjia Hua,Lei Chen,Zhi Wang",blockwise adaptive caching accelerating diffusion policy
A Technical Study into Small Reasoning Language Models,"Xialie Zhuang,Peixian Ma,Zhikai Jia,Zheng Cao,Shiwei Liu",technical study small reasoning language model
Deflating Deflationism: A Critical Perspective on Debunking Arguments Against LLM Mentality,"Alex Grzankowski,Geoff Keeling,Henry Shevlin,Winnie Street",deflating deflationism critical perspective debunking argument llm mentality
